FrameNumber,X,Y
2,129.68158512685466,351.66296270318185
3,129.96378883774037,352.69016714381246
4,129.95584038373917,352.6613115705016
6,130.5618312186146,352.612956364721
7,131.3589579390093,360.6872748736599
8,131.97786168701893,359.3267389336103
9,132.01402450969545,358.85523649395805
10,132.01369984469628,358.8605703655599
31,139.8533287611383,376.4931255626844
35,145.17488329937433,386.4585570984532
47,151.21612388197127,402.96763234799806
49,147.86194108494726,400.9839263470525
51,144.50457637797416,400.39741816337727
52,144.52402720587656,400.43199254298895
55,139.3865561556596,400.51512576140203
